filename,um_per_pixel,height,width,parent_id,patch_y,patch_x,class_histogram,split,dominant_class
micrograph0,0.0032679738562091,703.0,1024.0,micrograph0,,,,train,-1.0
micrograph1,0.0032679738562091,701.0,1021.0,micrograph1,,,,train,-1.0
micrograph10,0.0032679738562091,703.0,1024.0,micrograph10,,,,train,-1.0
micrograph11,0.0032679738562091,703.0,1024.0,micrograph11,,,,test,-1.0
micrograph12,0.0032679738562091,701.0,1021.0,micrograph12,,,,train,-1.0
micrograph13,0.0032679738562091,703.0,1024.0,micrograph13,,,,train,-1.0
micrograph14,0.0032679738562091,703.0,1024.0,micrograph14,,,,train,-1.0
micrograph15,0.0032679738562091,702.0,1024.0,micrograph15,,,,val,-1.0
micrograph16,0.0032679738562091,703.0,1024.0,micrograph16,,,,train,-1.0
micrograph17,0.0032679738562091,701.0,1021.0,micrograph17,,,,train,-1.0
micrograph18,0.0032679738562091,703.0,1024.0,micrograph18,,,,test,-1.0
micrograph19,0.0032679738562091,700.0,1021.0,micrograph19,,,,train,-1.0
micrograph2,0.0032679738562091,703.0,1024.0,micrograph2,,,,train,-1.0
micrograph20,0.0032679738562091,703.0,1024.0,micrograph20,,,,train,-1.0
micrograph21,0.0032679738562091,719.0,1028.0,micrograph21,,,,val,-1.0
micrograph22,0.0032679738562091,763.0,1091.0,micrograph22,,,,train,-1.0
micrograph23,0.0032679738562091,703.0,1024.0,micrograph23,,,,train,-1.0
micrograph24,0.0032679738562091,703.0,1024.0,micrograph24,,,,train,-1.0
micrograph25,0.0032679738562091,703.0,1024.0,micrograph25,,,,val,-1.0
micrograph26,0.0032679738562091,703.0,1024.0,micrograph26,,,,train,-1.0
micrograph27,0.0032679738562091,703.0,1024.0,micrograph27,,,,test,-1.0
micrograph28,0.0032679738562091,703.0,1024.0,micrograph28,,,,train,-1.0
micrograph29,0.0032679738562091,703.0,1024.0,micrograph29,,,,test,-1.0
micrograph3,0.0032679738562091,703.0,1024.0,micrograph3,,,,val,-1.0
micrograph30,0.0032679738562091,703.0,1024.0,micrograph30,,,,train,-1.0
micrograph31,0.0032679738562091,703.0,1024.0,micrograph31,,,,train,-1.0
micrograph32,0.0032679738562091,713.0,1020.0,micrograph32,,,,train,-1.0
micrograph33,0.0032679738562091,701.0,1021.0,micrograph33,,,,train,-1.0
micrograph34,0.0032679738562091,703.0,1024.0,micrograph34,,,,val,-1.0
micrograph35,0.0032679738562091,703.0,1024.0,micrograph35,,,,train,-1.0
micrograph36,0.0032679738562091,703.0,1024.0,micrograph36,,,,train,-1.0
micrograph37,0.0032679738562091,703.0,1024.0,micrograph37,,,,train,-1.0
micrograph38,0.0032679738562091,703.0,1024.0,micrograph38,,,,train,-1.0
micrograph39,0.0032679738562091,703.0,1024.0,micrograph39,,,,train,-1.0
micrograph4,0.0032679738562091,738.0,1056.0,micrograph4,,,,val,-1.0
micrograph40,0.0032679738562091,703.0,1024.0,micrograph40,,,,train,-1.0
micrograph41,0.0032679738562091,717.0,1025.0,micrograph41,,,,train,-1.0
micrograph5,0.0032679738562091,703.0,1024.0,micrograph5,,,,test,-1.0
micrograph6,0.0032679738562091,703.0,1024.0,micrograph6,,,,test,-1.0
